city,district,region
Київ,м. Київ,м. Київ
Харків,м. Харків,Харківська
Одеса,м. Одеса,Одеська
Дніпро,м. Дніпро,Дніпропетровська
Донецьк,м. Донецьк,Донецька
Запоріжжя,м. Запоріжжя,Запорізька
Львів,м. Львів,Львівська
Миколаїв,м. Миколаїв,Миколаївська
Маріуполь,м. Маріуполь,Донецька
Луганськ,м. Луганськ,Луганська
Чернігів,м. Чернігів,Чернігівська
Макіївка,Білоцерківський,Київська
Херсон,м. Херсон,Херсонська
Полтава,м. Полтава,Полтавська
Черкаси,м. Черкаси,Черкаська
Хмельницький,м. Хмельницький,Хмельницька
Сімферополь,м. Сімферополь,Крим
Вінниця,м. Вінниця,Вінницька
Горлівка,м. Горлівка,Донецька
Рівне,м. Рівне,Рівненська
Кам'янське,Нікопольський,Дніпропетровська
Луцьк,м. Луцьк,Волинська
Івано-франківськ,м. Івано-Франківськ,Івано-Франківська
Чернівці,м. Чернівці,Чернівецька
Суми,м. Суми,Сумська
Тернопіль,м. Тернопіль,Тернопільська
Севастополь,м. Севастополь,м. Севастополь
Кропивницький,м. Кропивницький,Кіровоградська
Житомир,м. Житомир,Житомирська
Кривий Ріг,м. Кривий Ріг,Дніпропетровська
Виноградів,Виноградівський,Закарпатська
Вилок,Виноградівський,Закарпатська
Королево,Виноградівський,Закарпатська
Берегове,Берегівський,Закарпатська
Неветленфолу,Виноградівський,Закарпатська
Берегуйфалу,Берегівський,Закарпатська
Хмільник,Іршавський,Закарпатська
Кам'янське,Іршавський,Закарпатська
Великі Береги,Берегівський,Закарпатська
Велика Бийгань,Берегівський,Закарпатська
Дийда,Берегівський,Закарпатська
Чома,Берегівський,Закарпатська
Бадалово,Берегівський,Закарпатська
Вари,Берегівський,Закарпатська
Боржава,Берегівський,Закарпатська
Мужієво,Берегівський,Закарпатська
Бене,Берегівський,Закарпатська
Косонь,Берегівський,Закарпатська
Запсонь,Берегівський,Закарпатська
Шаланки,Виноградівський,Закарпатська
Пушкіно,Виноградівський,Закарпатська
Вербовець,Виноградівський,Закарпатська
Підвиноградів,Виноградівський,Закарпатська
Нове Село,Виноградівський,Закарпатська
Фанчиково,Виноградівський,Закарпатська
Тросник,Виноградівський,Закарпатська
Ботар,Виноградівський,Закарпатська
Великі Ком'яти,Виноградівський,Закарпатська
Вільхівка,Іршавський,Закарпатська
Боржавське,Виноградівський,Закарпатська
Великий Раковець,Іршавський,Закарпатська
Рокосово,Хустський,Закарпатська
Велика Копаня,Виноградівський,Закарпатська
Букове,Виноградівський,Закарпатська
Чепа,Виноградівський,Закарпатська
Чорнотисів,Виноградівський,Закарпатська
Дюла,Виноградівський,Закарпатська
Сасово,Виноградівський,Закарпатська
Теково,Виноградівський,Закарпатська
Хижа,Виноградівський,Закарпатська
Черна,Виноградівський,Закарпатська
Фертешолмаш,Виноградівський,Закарпатська
Тисобикень,Виноградівський,Закарпатська
Гудя,Виноградівський,Закарпатська
Новоселиця,Виноградівський,Закарпатська
Кривий,Хустський,Закарпатська
Нижні Ремети,Берегівський,Закарпатська
Верхні Ремети,Берегівський,Закарпатська
Заріччя,Іршавський,Закарпатська
Онок,Виноградівський,Закарпатська
Перехрестя,Виноградівський,Закарпатська
Оросієво,Берегівський,Закарпатська
Чорний Потік,Виноградівський,Закарпатська
Матійово,Виноградівський,Закарпатська
Карачин,Виноградівський,Закарпатська
Затисівка,Виноградівський,Закарпатська
Форголань,Виноградівський,Закарпатська
Велика Паладь,Виноградівський,Закарпатська
Гребля,Іршавський,Закарпатська
Нижнє Болотне,Іршавський,Закарпатська
Малий Раковець,Іршавський,Закарпатська
Заболотне,Іршавський,Закарпатська
Вертеп,Хустський,Закарпатська
Мала Копаня,Виноградівський,Закарпатська
Холмовець,Виноградівський,Закарпатська
Чертіж,Хустський,Закарпатська
Гетиня,Виноградівський,Закарпатська
Дротинці,Виноградівський,Закарпатська
Пийтерфолво,Виноградівський,Закарпатська
Оклі,Виноградівський,Закарпатська
Оклі Гедь,Виноградівський,Закарпатська
Нове Клинове,Виноградівський,Закарпатська
Мала Бийгань,Берегівський,Закарпатська
Астей,Берегівський,Закарпатська
Велика Бакта,Берегівський,Закарпатська
Геча,Берегівський,Закарпатська
Квасово,Берегівський,Закарпатська
Кідьош,Берегівський,Закарпатська
Затишне,Берегівський,Закарпатська
Попово,Берегівський,Закарпатська
Мале Попово,Берегівський,Закарпатська
Гетен,Берегівський,Закарпатська
Галабор,Берегівський,Закарпатська
Руська Долина,Виноградівський,Закарпатська
Олешник,Виноградівський,Закарпатська
Веряця,Виноградівський,Закарпатська
Горбки,Виноградівський,Закарпатська
Притисянське,Виноградівський,Закарпатська
Вербове,Виноградівський,Закарпатська
Балажер,Берегівський,Закарпатська
Мочола,Берегівський,Закарпатська
Гуняді,Берегівський,Закарпатська
Яноші,Берегівський,Закарпатська
Широке,Виноградівський,Закарпатська
Тячів,Тячівський,Закарпатська
Солотвино,Тячівський,Закарпатська
Буштино,Тячівський,Закарпатська
Тересва,Тячівський,Закарпатська
Великий Бичків,Рахівський,Закарпатська
Вишково,Хустський,Закарпатська
Дубове,Тячівський,Закарпатська
Рахів,Рахівський,Закарпатська
Ясіня,Рахівський,Закарпатська
Кобилецька Поляна,Рахівський,Закарпатська
Хуст,Хустський,Закарпатська
Богдан,Рахівський,Закарпатська
Велятин,Хустський,Закарпатська
Руське Поле,Тячівський,Закарпатська
Стеблівка,Хустський,Закарпатська
Новобарово,Тячівський,Закарпатська
Сокирниця,Хустський,Закарпатська
Данилово,Хустський,Закарпатська
Боронява,Хустський,Закарпатська
Нижнє Селище,Хустський,Закарпатська
Копашново,Хустський,Закарпатська
Дулово,Тячівський,Закарпатська
Угля,Тячівський,Закарпатська
Кричово,Тячівський,Закарпатська
Чумальово,Тячівський,Закарпатська
Золотарьово,Хустський,Закарпатська
Жовтневе,Хустський,Закарпатська
Кошельово,Хустський,Закарпатська
Широкий Луг,Тячівський,Закарпатська
Красна,Тячівський,Закарпатська
Солоне,Тячівський,Закарпатська
Терново,Тячівський,Закарпатська
Грушово,Тячівський,Закарпатська
Нижня Апша,Тячівський,Закарпатська
Глибокий Потік,Тячівський,Закарпатська
Кічерели,Хустський,Закарпатська
Тарасівка,Тячівський,Закарпатська
Теребля,Тячівський,Закарпатська
Костилівка,Рахівський,Закарпатська
Видричка,Рахівський,Закарпатська
Вільховатий,Рахівський,Закарпатська
Луг,Рахівський,Закарпатська
Хмелів,Рахівський,Закарпатська
Ділове,Рахівський,Закарпатська
Середнє Водяне,Рахівський,Закарпатська
Іза,Хустський,Закарпатська
Драгово,Хустський,Закарпатська
Липча,Хустський,Закарпатська
Горінчово,Хустський,Закарпатська
Підплеша,Тячівський,Закарпатська
Ганичі,Тячівський,Закарпатська
Вільхівці,Тячівський,Закарпатська
Добрянське,Тячівський,Закарпатська
Крива,Тячівський,Закарпатська
Бедевля,Тячівський,Закарпатська
Біла Церква,Рахівський,Закарпатська
Осава,Хустський,Закарпатська
Лунка,Хустський,Закарпатська
Хустець,Хустський,Закарпатська
Посіч,Хустський,Закарпатська
Ділок,Хустський,Закарпатська
Поляна,Хустський,Закарпатська
Становець,Хустський,Закарпатська
Залом,Хустський,Закарпатська
Липовець,Хустський,Закарпатська
Крайниково,Хустський,Закарпатська
Олександрівка,Хустський,Закарпатська
Кіреші,Хустський,Закарпатська
Карповтлаш,Хустський,Закарпатська
Нанково,Хустський,Закарпатська
Колодне,Тячівський,Закарпатська
Фонтиняси,Тячівський,Закарпатська
Вільхівці-лази,Тячівський,Закарпатська
Ракове,Тячівський,Закарпатська
Вільхівчик,Тячівський,Закарпатська
Бобове,Тячівський,Закарпатська
Груники,Тячівський,Закарпатська
Пригідь,Тячівський,Закарпатська
Тячівка,Тячівський,Закарпатська
Вишоватий,Тячівський,Закарпатська
Подішор,Тячівський,Закарпатська
Топчино,Тячівський,Закарпатська
Пещера,Тячівський,Закарпатська
Петрушів,Тячівський,Закарпатська
Лази,Тячівський,Закарпатська
Руня,Тячівський,Закарпатська
Округла,Тячівський,Закарпатська
Дібрівка,Тячівський,Закарпатська
Глиняний,Тячівський,Закарпатська
Сасово,Тячівський,Закарпатська
Біловарці,Тячівський,Закарпатська
Плаюць,Рахівський,Закарпатська
Добрік,Рахівський,Закарпатська
Стримба,Рахівський,Закарпатська
Модьорош,Хустський,Закарпатська
Шаян,Хустський,Закарпатська
Ракош,Хустський,Закарпатська
Вонігове,Тячівський,Закарпатська
Зарічне,Хустський,Закарпатська
Вишній Дубовець,Тячівський,Закарпатська
Нижній Дубовець,Тячівський,Закарпатська
Сітний,Рахівський,Закарпатська
Бребоя,Рахівський,Закарпатська
Росішка,Рахівський,Закарпатська
Круглий,Рахівський,Закарпатська
Білин,Рахівський,Закарпатська
Новоселиця,Тячівський,Закарпатська
Тисалово,Тячівський,Закарпатська
Нересниця,Тячівський,Закарпатська
Велика Уголька,Тячівський,Закарпатська
Мала Уголька,Тячівський,Закарпатська
Яблунівка,Хустський,Закарпатська
Калини,Тячівський,Закарпатська
Косівська Поляна,Рахівський,Закарпатська
Тростянець,Рахівський,Закарпатська
Росош,Тячівський,Закарпатська
Кутлаш,Хустський,Закарпатська
Сюрюк,Хустський,Закарпатська
Верхнє Водяне,Рахівський,Закарпатська
Кваси,Рахівський,Закарпатська
Розтоки,Рахівський,Закарпатська
Сарата,Путильський,Чернівецька
Ворохта,м. Яремча,Івано-Франківська
Верховина,Верховинський,Івано-Франківська
Кути,Косівський,Івано-Франківська
Вижниця,Вижницький,Чернівецька
Путила,Путильський,Чернівецька
Берегомет,Вижницький,Чернівецька
Бабин,Косівський,Івано-Франківська
Малий Рожин,Косівський,Івано-Франківська
Річка,Косівський,Івано-Франківська
Барвінків,Верховинський,Івано-Франківська
Біла Річка,Верховинський,Івано-Франківська
Берестечко,Верховинський,Івано-Франківська
Буковець,Верховинський,Івано-Франківська
Рівня,Верховинський,Івано-Франківська
Кохан,Верховинський,Івано-Франківська
Криворівня,Верховинський,Івано-Франківська
Перехресне,Верховинський,Івано-Франківська
Полянки,Верховинський,Івано-Франківська
Сеньківське,Верховинський,Івано-Франківська
Стаїще,Верховинський,Івано-Франківська
Стовпні,Верховинський,Івано-Франківська
Топільче,Верховинський,Івано-Франківська
Хороцеве,Верховинський,Івано-Франківська
Черетів,Верховинський,Івано-Франківська
Явірник,Верховинський,Івано-Франківська
Снідавка,Косівський,Івано-Франківська
Голови,Верховинський,Івано-Франківська
Голошина,Путильський,Чернівецька
Грамотне,Верховинський,Івано-Франківська
Замагора,Верховинський,Івано-Франківська
Красноїлля,Верховинський,Івано-Франківська
Пробійнівка,Верховинський,Івано-Франківська
Яблуниця,Верховинський,Івано-Франківська
Зелене,Верховинський,Івано-Франківська
Розтоки,Путильський,Чернівецька
Тюдів,Косівський,Івано-Франківська
Старі Кути,Косівський,Івано-Франківська
Бистрець,Верховинський,Івано-Франківська
Устеріки,Верховинський,Івано-Франківська
Чорна Річка,Верховинський,Івано-Франківська
Білоберізка,Верховинський,Івано-Франківська
Ільці,Верховинський,Івано-Франківська
Яворів,Косівський,Івано-Франківська
Шепіт,Косівський,Івано-Франківська
Буркут,Верховинський,Івано-Франківська
Верхній Ясенів,Верховинський,Івано-Франківська
Волова,Верховинський,Івано-Франківська
Гринява,Верховинський,Івано-Франківська
Кривопілля,Верховинський,Івано-Франківська
Бережниця,Верховинський,Івано-Франківська
Черемошна,Верховинський,Івано-Франківська
Красник,Верховинський,Івано-Франківська
Великий Рожин,Косівський,Івано-Франківська
Вигода,Верховинський,Івано-Франківська
Липовани,Вижницький,Чернівецька
Лопушина,Вижницький,Чернівецька
Луківці,Вижницький,Чернівецька
Чорногузи,Вижницький,Чернівецька
Фальків,Вижницький,Чернівецька
Дихтинець,Путильський,Чернівецька
Нижній Яловець,Путильський,Чернівецька
Плоска,Путильський,Чернівецька
Тораки,Путильський,Чернівецька
Шепіт,Путильський,Чернівецька
Яблуниця,Верховинський,Івано-Франківська
Черешенька,Вижницький,Чернівецька
Багна,Вижницький,Чернівецька
Банилів-підгірний,Сторожинецький,Чернівецька
Вахнівці,Вижницький,Чернівецька
Велике,Вижницький,Чернівецька
Виженка,Вижницький,Чернівецька
Долішній Шепіт,Вижницький,Чернівецька
Заріччя,Вижницький,Чернівецька
Лекечі,Вижницький,Чернівецька
Мигове,Вижницький,Чернівецька
Середній Майдан,Вижницький,Чернівецька
Косованка,Сторожинецький,Чернівецька
Стара Жадова,Сторожинецький,Чернівецька
