region,district,City,latitude,longitude
Закарпатська,Виноградівський,Виноградів,23.04674,48.14072
Закарпатська,Виноградівський,Вилок,22.83835,48.11033
Закарпатська,Виноградівський,Королево,23.14631,48.14724
Закарпатська,Берегівський,Берегове,22.64591,48.20543
Закарпатська,Виноградівський,Неветленфолу,22.99593,48.01609
Закарпатська,Берегівський,Берегуйфалу,22.80779,48.2765
Закарпатська,Іршавський,Хмільник,22.90546,48.27976
Закарпатська,Іршавський,Кам'янське,22.93842,48.27976
Закарпатська,Берегівський,Великі Береги,22.75045,48.23152
Закарпатська,Берегівський,Велика Бийгань,22.57485,48.248
Закарпатська,Берегівський,Дийда,22.57433,48.21899
Закарпатська,Берегівський,Чома,22.63304,48.13539
Закарпатська,Берегівський,Бадалово,22.63578,48.10982
Закарпатська,Берегівський,Вари,22.71046,48.12509
Закарпатська,Берегівський,Боржава,22.72162,48.15634
Закарпатська,Берегівський,Мужієво,22.70582,48.1802
Закарпатська,Берегівський,Бене,22.75698,48.16629
Закарпатська,Берегівський,Косонь,22.4552,48.25573
Закарпатська,Берегівський,Запсонь,22.46996,48.27993
Закарпатська,Виноградівський,Шаланки,22.88384,48.22775
Закарпатська,Виноградівський,Пушкіно,22.85997,48.17299
Закарпатська,Виноградівський,Вербовець,22.90873,48.16801
Закарпатська,Виноградівський,Підвиноградів,23.00125,48.13728
Закарпатська,Виноградівський,Нове Село,22.89036,48.11806
Закарпатська,Виноградівський,Фанчиково,22.9434,48.11376
Закарпатська,Виноградівський,Тросник,22.95044,48.09986
Закарпатська,Виноградівський,Ботар,22.97018,48.02656
Закарпатська,Виноградівський,Великі Ком'яти,22.97894,48.23856
Закарпатська,Іршавський,Вільхівка,23.07386,48.26345
Закарпатська,Виноградівський,Боржавське,23.05567,48.2547
Закарпатська,Іршавський,Великий Раковець,23.16759,48.27083
Закарпатська,Хустський,Рокосово,23.17909,48.20869
Закарпатська,Виноградівський,Велика Копаня,23.12794,48.19153
Закарпатська,Виноградівський,Букове,23.07009,48.18106
Закарпатська,Виноградівський,Чепа,23.01842,48.06913
Закарпатська,Виноградівський,Чорнотисів,23.05361,48.07823
Закарпатська,Виноградівський,Дюла,23.07781,48.03411
Закарпатська,Виноградівський,Сасово,23.07541,48.09437
Закарпатська,Виноградівський,Теково,23.09927,48.12355
Закарпатська,Виноградівський,Хижа,23.20656,48.10896
Закарпатська,Виноградівський,Черна,23.19111,48.13694
Закарпатська,Виноградівський,Фертешолмаш,22.92692,47.9809
Закарпатська,Виноградівський,Тисобикень,22.89602,48.07239
Закарпатська,Виноградівський,Гудя,23.12536,48.11514
Закарпатська,Виноградівський,Новоселиця,23.22579,48.12939
Закарпатська,Хустський,Кривий,23.23351,48.17264
Закарпатська,Берегівський,Нижні Ремети,22.8265,48.25745
Закарпатська,Берегівський,Верхні Ремети,22.86135,48.26706
Закарпатська,Іршавський,Заріччя,22.99095,48.27959
Закарпатська,Виноградівський,Онок,23.004,48.22346
Закарпатська,Виноградівський,Перехрестя,22.8368,48.13728
Закарпатська,Берегівський,Оросієво,22.81929,48.16286
Закарпатська,Виноградівський,Чорний Потік,22.90667,48.18088
Закарпатська,Виноградівський,Матійово,22.91199,48.13179
Закарпатська,Виноградівський,Карачин,22.86959,48.13179
Закарпатська,Виноградівський,Затисівка,22.98924,48.06295
Закарпатська,Виноградівський,Форголань,22.95611,48.05214
Закарпатська,Виноградівський,Велика Паладь,22.88229,48.0003
Закарпатська,Іршавський,Гребля,23.04932,48.28302
Закарпатська,Іршавський,Нижнє Болотне,23.09704,48.2662
Закарпатська,Іршавський,Малий Раковець,23.20656,48.26414
Закарпатська,Іршавський,Заболотне,23.11661,48.24217
Закарпатська,Хустський,Вертеп,23.1336,48.22346
Закарпатська,Виноградівський,Мала Копаня,23.09481,48.16938
Закарпатська,Виноградівський,Холмовець,23.0967,48.05797
Закарпатська,Хустський,Чертіж,23.24295,48.19067
Закарпатська,Виноградівський,Гетиня,23.01687,48.0887
Закарпатська,Виноградівський,Дротинці,22.987,48.10484
Закарпатська,Виноградівський,Пийтерфолво,22.9343,48.06175
Закарпатська,Виноградівський,Оклі,23.01601,48.00218
Закарпатська,Виноградівський,Оклі Гедь,23.06202,48.01283
Закарпатська,Виноградівський,Нове Клинове,23.03867,48.01746
Закарпатська,Берегівський,Мала Бийгань,22.57828,48.27169
Закарпатська,Берегівський,Астей,22.5975,48.16904
Закарпатська,Берегівський,Велика Бакта,22.66394,48.1608
Закарпатська,Берегівський,Геча,22.65793,48.13969
Закарпатська,Берегівський,Квасово,22.77037,48.18621
Закарпатська,Берегівський,Кідьош,22.69758,48.21813
Закарпатська,Берегівський,Затишне,22.66909,48.23032
Закарпатська,Берегівський,Попово,22.42207,48.26946
Закарпатська,Берегівський,Мале Попово,22.38756,48.26259
Закарпатська,Берегівський,Гетен,22.38344,48.27616
Закарпатська,Берегівський,Галабор,22.67801,48.10106
Закарпатська,Виноградівський,Руська Долина,22.9283,48.12698
Закарпатська,Виноградівський,Олешник,22.9549,48.16698
Закарпатська,Виноградівський,Веряця,23.16038,48.16578
Закарпатська,Виноградівський,Горбки,23.1815,48.15565
Закарпатська,Виноградівський,Притисянське,22.91697,48.11273
Закарпатська,Виноградівський,Вербове,22.91285,48.11874
Закарпатська,Берегівський,Балажер,22.60866,48.24646
Закарпатська,Берегівський,Мочола,22.62823,48.15754
Закарпатська,Берегівський,Гуняді,22.60798,48.14552
Закарпатська,Берегівський,Яноші,22.63064,48.24474
Закарпатська,Виноградівський,Широке,23.11283,48.22208
Закарпатська,Тячівський,Тячів,23.57838,48.01163
Закарпатська,Тячівський,Солотвино,23.88119,47.9579
Закарпатська,Тячівський,Буштино,23.48534,48.0475
Закарпатська,Тячівський,Тересва,23.69957,47.99789
Закарпатська,Рахівський,Великий Бичків,24.01543,47.96511
Закарпатська,Хустський,Вишково,23.42972,48.05265
Закарпатська,Тячівський,Дубове,23.88445,48.19359
Закарпатська,Рахівський,Рахів,24.20357,48.05574
Закарпатська,Рахівський,Ясіня,24.36115,48.27255
Закарпатська,Рахівський,Кобилецька Поляна,24.0719,48.05746
Закарпатська,Хустський,Хуст,23.29067,48.17814
Закарпатська,Рахівський,Богдан,24.34296,48.03583
Закарпатська,Хустський,Велятин,23.3135,48.1093
Закарпатська,Тячівський,Руське Поле,23.53357,48.05712
Закарпатська,Хустський,Стеблівка,23.42182,48.09059
Закарпатська,Тячівський,Новобарово,23.50697,48.0978
Закарпатська,Хустський,Сокирниця,23.39985,48.12406
Закарпатська,Хустський,Данилово,23.45873,48.14741
Закарпатська,Хустський,Боронява,23.38543,48.15754
Закарпатська,Хустський,Нижнє Селище,23.44757,48.1996
Закарпатська,Хустський,Копашново,23.48242,48.21556
Закарпатська,Тячівський,Дулово,23.58713,48.1426
Закарпатська,Тячівський,Угля,23.62988,48.15205
Закарпатська,Тячівський,Кричово,23.56842,48.1917
Закарпатська,Тячівський,Чумальово,23.5437,48.18947
Закарпатська,Хустський,Золотарьово,23.50164,48.18071
Закарпатська,Хустський,Жовтневе,23.54439,48.22328
Закарпатська,Хустський,Кошельово,23.33204,48.23788
Закарпатська,Тячівський,Широкий Луг,23.75433,48.21539
Закарпатська,Тячівський,Красна,23.9459,48.23358
Закарпатська,Тячівський,Солоне,23.85853,48.12527
Закарпатська,Тячівський,Терново,23.73785,48.07411
Закарпатська,Тячівський,Грушово,23.76257,48.00699
Закарпатська,Тячівський,Нижня Апша,23.83827,47.99738
Закарпатська,Тячівський,Глибокий Потік,23.89389,48.05729
Закарпатська,Хустський,Кічерели,23.62284,48.24886
Закарпатська,Тячівський,Тарасівка,23.81441,48.20749
Закарпатська,Тячівський,Теребля,23.59297,48.11136
Закарпатська,Рахівський,Костилівка,24.20374,47.99274
Закарпатська,Рахівський,Видричка,24.33678,48.05385
Закарпатська,Рахівський,Вільховатий,24.17044,48.01197
Закарпатська,Рахівський,Луг,24.05439,47.96099
Закарпатська,Рахівський,Хмелів,24.15619,47.91807
Закарпатська,Рахівський,Ділове,24.1749,47.93575
Закарпатська,Рахівський,Середнє Водяне,23.8999,47.97953
Закарпатська,Хустський,Іза,23.32878,48.21384
Закарпатська,Хустський,Драгово,23.54645,48.2365
Закарпатська,Хустський,Липча,23.38183,48.26328
Закарпатська,Хустський,Горінчово,23.43401,48.2698
Закарпатська,Тячівський,Підплеша,23.80034,48.13145
Закарпатська,Тячівський,Ганичі,23.83913,48.12544
Закарпатська,Тячівський,Вільхівці,23.73957,48.09917
Закарпатська,Тячівський,Добрянське,23.7097,48.06742
Закарпатська,Тячівський,Крива,23.71399,48.02828
Закарпатська,Тячівський,Бедевля,23.66421,48.0039
Закарпатська,Рахівський,Біла Церква,23.92651,47.95086
Закарпатська,Хустський,Осава,23.35951,48.28268
Закарпатська,Хустський,Лунка,23.48826,48.22328
Закарпатська,Хустський,Хустець,23.48293,48.24388
Закарпатська,Хустський,Посіч,23.41393,48.25298
Закарпатська,Хустський,Ділок,23.45547,48.25933
Закарпатська,Хустський,Поляна,23.51555,48.26002
Закарпатська,Хустський,Становець,23.55434,48.26156
Закарпатська,Хустський,Залом,23.31694,48.25642
Закарпатська,Хустський,Липовець,23.30475,48.27564
Закарпатська,Хустський,Крайниково,23.44053,48.1196
Закарпатська,Хустський,Олександрівка,23.51006,48.13745
Закарпатська,Хустський,Кіреші,23.35247,48.18878
Закарпатська,Хустський,Карповтлаш,23.38783,48.20354
Закарпатська,Хустський,Нанково,23.41856,48.19805
Закарпатська,Тячівський,Колодне,23.59829,48.16509
Закарпатська,Тячівський,Фонтиняси,23.75639,48.24148
Закарпатська,Тячівський,Вільхівці-лази,23.69768,48.12578
Закарпатська,Тячівський,Ракове,23.69064,48.11823
Закарпатська,Тячівський,Вільхівчик,23.74231,48.1275
Закарпатська,Тячівський,Бобове,23.66678,48.12441
Закарпатська,Тячівський,Груники,23.66575,48.14535
Закарпатська,Тячівський,Пригідь,23.74163,48.26105
Закарпатська,Тячівський,Тячівка,23.59778,48.03909
Закарпатська,Тячівський,Вишоватий,23.75742,48.09093
Закарпатська,Тячівський,Подішор,23.86591,48.04235
Закарпатська,Тячівський,Топчино,23.85269,48.03892
Закарпатська,Тячівський,Пещера,23.86677,48.05815
Закарпатська,Тячівський,Петрушів,23.80652,48.07669
Закарпатська,Тячівський,Лази,23.64481,48.05815
Закарпатська,Тячівський,Руня,23.63966,48.04012
Закарпатська,Тячівський,Округла,23.66472,48.08407
Закарпатська,Тячівський,Дібрівка,23.66283,48.03463
Закарпатська,Тячівський,Глиняний,23.6776,48.02639
Закарпатська,Тячівський,Сасово,23.70043,48.10037
Закарпатська,Тячівський,Біловарці,23.69425,48.03051
Закарпатська,Рахівський,Плаюць,23.9411,48.01815
Закарпатська,Рахівський,Добрік,23.90333,48.01214
Закарпатська,Рахівський,Стримба,23.91586,48.04407
Закарпатська,Хустський,Модьорош,23.34887,48.07291
Закарпатська,Хустський,Шаян,23.34921,48.05918
Закарпатська,Хустський,Ракош,23.39333,48.04321
Закарпатська,Тячівський,Вонігове,23.52739,48.07497
Закарпатська,Хустський,Зарічне,23.28724,48.20234
Закарпатська,Тячівський,Вишній Дубовець,23.90642,48.17831
Закарпатська,Тячівський,Нижній Дубовець,23.90247,48.15977
Закарпатська,Рахівський,Сітний,24.29403,48.12235
Закарпатська,Рахівський,Бребоя,24.38776,48.0487
Закарпатська,Рахівський,Росішка,24.06967,47.98502
Закарпатська,Рахівський,Круглий,24.18846,47.96047
Закарпатська,Рахівський,Білин,24.25404,48.11102
Закарпатська,Тячівський,Новоселиця,23.75776,48.16698
Закарпатська,Тячівський,Тисалово,23.77733,48.13831
Закарпатська,Тячівський,Нересниця,23.76909,48.12269
Закарпатська,Тячівський,Велика Уголька,23.65683,48.19805
Закарпатська,Тячівський,Мала Уголька,23.63829,48.17676
Закарпатська,Хустський,Яблунівка,23.52173,48.01454
Закарпатська,Тячівський,Калини,23.86694,48.13934
Закарпатська,Рахівський,Косівська Поляна,24.10675,48.00304
Закарпатська,Рахівський,Тростянець,24.26725,48.15874
Закарпатська,Тячівський,Росош,23.59005,48.23976
Закарпатська,Хустський,Кутлаш,23.47813,48.2777
Закарпатська,Хустський,Сюрюк,23.47384,48.27135
Закарпатська,Рахівський,Верхнє Водяне,23.96805,47.99566
Закарпатська,Рахівський,Кваси,24.28202,48.14569
Закарпатська,Рахівський,Розтоки,24.30725,48.06999
Чернівецька,Путильський,Сарата,24.99338,47.74916
Івано-Франківська,м Яремча,Ворохта,24.57436,48.28268
Івано-Франківська,Верховинський,Верховина,24.81812,48.15531
Івано-Франківська,Косівський,Кути,25.18118,48.26362
Чернівецька,Вижницький,Вижниця,25.17946,48.24217
Чернівецька,Путильський,Путила,25.08642,47.99017
Чернівецька,Вижницький,Берегомет,25.31971,48.16887
Івано-Франківська,Косівський,Бабин,25.04282,48.27633
Івано-Франківська,Косівський,Малий Рожин,25.07973,48.26088
Івано-Франківська,Косівський,Річка,24.93313,48.2801
Івано-Франківська,Верховинський,Барвінків,25.01329,48.1172
Івано-Франківська,Верховинський,Біла Річка,24.89519,47.96511
Івано-Франківська,Верховинський,Берестечко,24.6801,48.10587
Івано-Франківська,Верховинський,Буковець,24.93914,48.19977
Івано-Франківська,Верховинський,Рівня,24.95527,48.13728
Івано-Франківська,Верховинський,Кохан,24.9436,48.09196
Івано-Франківська,Верховинський,Криворівня,24.89657,48.17522
