city,district,region,longitude,latitude,country
Виноградів,Виноградівський район,Закарпатська область,23.04674,48.14072,Україна
Вилок,Виноградівський район,Закарпатська область,22.83835,48.11033,Україна
Королево,Виноградівський район,Закарпатська область,23.14631,48.14724,Україна
Берегове,Берегівський район,Закарпатська область,22.64591,48.20543,Україна
Неветленфолу,Виноградівський район,Закарпатська область,22.99593,48.01609,Україна
Берегуйфалу,Берегівський район,Закарпатська область,22.80779,48.2765,Україна
Хмільник,Іршавський район,Закарпатська область,22.90546,48.27976,Україна
Кам'янське,Іршавський район,Закарпатська область,22.93842,48.27976,Україна
Великі Береги,Берегівський район,Закарпатська область,22.75045,48.23152,Україна
Велика Бийгань,Берегівський район,Закарпатська область,22.57485,48.248,Україна
Дийда,Берегівський район,Закарпатська область,22.57433,48.21899,Україна
Чома,Берегівський район,Закарпатська область,22.63304,48.13539,Україна
Бадалово,Берегівський район,Закарпатська область,22.63578,48.10982,Україна
Вари,Берегівський район,Закарпатська область,22.71046,48.12509,Україна
Боржава,Берегівський район,Закарпатська область,22.72162,48.15634,Україна
Мужієво,Берегівський район,Закарпатська область,22.70582,48.1802,Україна
Бене,Берегівський район,Закарпатська область,22.75698,48.16629,Україна
Косонь,Берегівський район,Закарпатська область,22.4552,48.25573,Україна
Запсонь,Берегівський район,Закарпатська область,22.46996,48.27993,Україна
Шаланки,Виноградівський район,Закарпатська область,22.88384,48.22775,Україна
Пушкіно,Виноградівський район,Закарпатська область,22.85997,48.17299,Україна
Вербовець,Виноградівський район,Закарпатська область,22.90873,48.16801,Україна
Підвиноградів,Виноградівський район,Закарпатська область,23.00125,48.13728,Україна
Нове Село,Виноградівський район,Закарпатська область,22.89036,48.11806,Україна
Фанчиково,Виноградівський район,Закарпатська область,22.9434,48.11376,Україна
Тросник,Виноградівський район,Закарпатська область,22.95044,48.09986,Україна
Ботар,Виноградівський район,Закарпатська область,22.97018,48.02656,Україна
Великі Ком'яти,Виноградівський район,Закарпатська область,22.97894,48.23856,Україна
Вільхівка,Іршавський район,Закарпатська область,23.07386,48.26345,Україна
Боржавське,Виноградівський район,Закарпатська область,23.05567,48.2547,Україна
Великий Раковець,Іршавський район,Закарпатська область,23.16759,48.27083,Україна
Рокосово,Хустський район,Закарпатська область,23.17909,48.20869,Україна
Велика Копаня,Виноградівський район,Закарпатська область,23.12794,48.19153,Україна
Букове,Виноградівський район,Закарпатська область,23.07009,48.18106,Україна
Чепа,Виноградівський район,Закарпатська область,23.01842,48.06913,Україна
Чорнотисів,Виноградівський район,Закарпатська область,23.05361,48.07823,Україна
Дюла,Виноградівський район,Закарпатська область,23.07781,48.03411,Україна
Сасово,Виноградівський район,Закарпатська область,23.07541,48.09437,Україна
Теково,Виноградівський район,Закарпатська область,23.09927,48.12355,Україна
Хижа,Виноградівський район,Закарпатська область,23.20656,48.10896,Україна
Черна,Виноградівський район,Закарпатська область,23.19111,48.13694,Україна
